object_id,title,description,source_url,creator,period,medium,dimensions,location,credit,thumbnail
id_objeto,titulo,descripcion,url_fuente,creador,periodo,medio,dimensiones,ubicacion,credito,miniatura
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,,# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,,,,,,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,,# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,,,,,,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
atlas-allegory,Aspecto Symbólico del Mundo Hispánico,"Allegorical map of the ""Hispanic World"", engraved by Laureano Atlas and published as the frontispiece to Vicente Memije, Theses Mathematicas de Cosmographia, Geographia y Hydrographia (Manila: 1761)",https://figgy.princeton.edu/concern/scanned_resources/3497e01a-5086-4528-86ba-6f67ce402eec/manifest,Laureano Atlas,1761,Engraving,,Princeton University Library,Princeton University Library,
leviathan,Leviathan Frontispiece,"Frontispiece from Thomas Hobbes' Leviathan (1651), showing the sovereign as a giant body composed of individual citizens",,Abraham Bosse (after design by Thomas Hobbes),1651,Engraving,,British Library,British Library,
